FOR4_CODE,FOR4_NAME,START_YEAR,AAU_funding,CMU_funding,aau_share,cmu_share,targeting_index,growth_rate,AAU_total,inverse_targeting,growth_norm,inverse_targeting_norm,scale_norm,opportunity_score,CMU_total,under_target_gap
3106,Industrial Biotechnology,2024,37761323.0,0.0,0.0056013739489534,0.0,0.0,-0.0119131871456251,194846843.0,1.0,0.6002524450844049,1.0,0.6560455823785761,0.7485330598989889,0.0,0.0056013739489534
3107,Microbiology,2024,30315986.0,870582.0,0.004496960400917,0.0060981170760138,1.3560530963915858,-0.3265211725384023,276662080.0,0.0,0.5586484160071273,0.0,0.7049295546013287,0.3850636411937629,0.0,-0.0016011566750968
3108,Plant Biology,2024,18582715.0,0.0,0.0027564907008641,0.0,0.0,-0.5299899306573207,240117365.0,1.0,0.5317415334035959,1.0,0.6851757621419483,0.7186471310230902,0.0,0.0027564907008641
3109,Zoology,2024,7792092.0,0.0,0.0011558498926705,0.0,0.0,-0.090913423027268,40028227.0,1.0,0.5898053863213277,1.0,0.4353697708760531,0.7102081587920718,0.0,0.0011558498926705
3201,Cardiovascular Medicine and Haematology,2024,13469611.0,48974.0,0.001998031905766,0.0003430454404992,0.1716916729453887,0.4123645169424042,60840084.0,0.8283083270546112,0.6563592915641007,0.8283083270546112,0.4937466950215161,0.6921495645043916,0.0,0.0016549864652667
3202,Clinical Sciences,2024,216811578.0,1897867.0,0.0321610216051139,0.0132938828975365,0.4133538747855803,0.2579302887439505,968568105.0,0.5866461252144197,0.6359367771372214,0.5866461252144197,0.8796462134797425,0.6552414644156189,0.0,0.0188671387075773
3203,Dentistry,2024,1090150.0,0.0,0.0001617087889227,0.0,0.0,-0.5620510169353121,19993204.0,1.0,0.5275017479318654,1.0,0.3385741941859513,0.6645370030938255,0.0,0.0001617087889227
3204,Immunology,2024,53935378.0,0.0,0.0080005730004787,0.0,0.0,-0.0816786472199027,301457223.0,1.0,0.5910266009727362,1.0,0.7168975463146738,0.753047932433569,0.0,0.0080005730004787
3205,Medical Biochemistry and Metabolomics,2024,4145830.0,0.0,0.0006149769741592,0.0,0.0,-1.2973167785645965,43602926.0,1.0,0.4302695747301562,1.0,0.4472970589743625,0.6322293462112324,0.0,0.0006149769741592
3206,Medical Biotechnology,2024,33394017.0,0.0,0.0049535440502099,0.0,0.0,-0.477768899559794,152024860.0,1.0,0.5386472872213652,1.0,0.6214417255267456,0.7125399024396945,0.0,0.0049535440502099
3207,Medical Microbiology,2024,33753300.0,365084.0,0.0050068387516827,0.0025572834891824,0.5107581082620195,-0.4103850856116591,337968976.0,0.4892418917379805,0.5475581804122551,0.4892418917379805,0.732838729744932,0.5549395617761606,0.0,0.0024495552625003
3208,Medical Physiology,2024,8014175.0,0.0,0.0011887928573729,0.0,0.0,-0.3946380791195761,40360491.0,1.0,0.5496405780194193,1.0,0.4365224177492256,0.6902986516720935,0.0,0.0011887928573729
3209,Neurosciences,2024,19726307.0,548974.0,0.0029261268769332,0.00384536749403,1.314149268216346,-1.1719031256062604,161527026.0,0.0,0.4468543834655482,0.0,0.6298955227063783,0.3179115201387308,0.0,-0.0009192406170967
3210,Nutrition and Dietetics,2024,5700199.0,0.0,0.000845546279786,0.0,0.0,-0.8921060567344795,37158746.0,1.0,0.4838549871677892,1.0,0.4249977077773239,0.6556771497504932,0.0,0.000845546279786
3211,Oncology and Carcinogenesis,2024,59794333.0,520259.0,0.0088696685537539,0.0036442291384957,0.4108641846547207,0.1171397535322445,315223448.0,0.5891358153452793,0.6173185163405654,0.5891358153452793,0.7231238788063313,0.6233253753620801,0.0,0.0052254394152582
3212,Ophthalmology and Optometry,2024,3337699.0,0.0,0.0004951018328475,0.0,0.0,-0.3305521351443006,33309895.0,1.0,0.5581153580643805,1.0,0.4097511000082156,0.6905203440334226,0.0,0.0004951018328475
3213,Paediatrics,2024,15413490.0,0.0,0.0022863796734148,0.0,0.0,0.440891509456982,81247372.0,1.0,0.6601317254537936,1.0,0.5340785721236542,0.7601776485454449,0.0,0.0022863796734148
3214,Pharmacology and Pharmaceutical Sciences,2024,13447770.0,0.0,0.0019947920932091,0.0,0.0,-0.4214568006316954,130759933.0,1.0,0.5460940473482012,1.0,0.6004313363987583,0.7131117241339143,0.0,0.0019947920932091
3215,Reproductive Medicine,2024,24534853.0,0.0,0.0036394086731442,0.0,0.0,-0.3694547788211746,127898523.0,1.0,0.552970839190535,1.0,0.5973461830802574,0.7160873470573061,0.0,0.0036394086731442
3301,Architecture,2024,29769643.0,2322318.0,0.0044159179160604,0.0162670110934229,3.683721346871265,0.0568999782522435,154764802.0,0.0,0.6093523569335532,0.0,0.6239324048822564,0.3982660391991151,0.0,-0.0118510931773625
3302,Building,2024,598706512.0,0.0,0.0888098931116787,0.0,0.0,3.0109616571172655,829160836.0,1.0,1.0,1.0,0.8579771746835843,0.9786965762025376,0.0,0.0888098931116787
3303,Design,2024,6575541.0,2819546.0,0.0009753912503985,0.0197499162734889,20.24819913590385,-0.94865129146257,85503040.0,0.0,0.4763773969633577,0.0,0.5411972733066707,0.3193682894776795,0.0,-0.0187745250230903
